student_id,age,gender,program,prior_gpa,total_logins,avg_session_duration,time_spent_on_materials,num_forum_posts,num_forum_replies,late_submissions,quiz_attempts,quiz_scores_avg,assignment_scores_avg,final_exam_score,text_feature_1,text_feature_2,text_feature_3,text_feature_4,text_feature_5,student_performance
S0001,24,Male,Diploma,2.25,129,44.43,32.47,21,10,5,3,93.55,67.14,56.16,0.808,0.204,0.594,0.216,0.734,Fail
S0002,37,Female,BSc,2.12,106,26.31,9.99,16,8,5,3,83.12,91.33,52.73,0.421,0.823,0.949,0.555,0.901,Fail
S0003,32,Male,Diploma,2.61,125,40.68,35.72,13,8,1,2,50.27,86.04,31.85,0.034,0.463,0.503,0.416,0.315,Pass
S0004,28,Other,BSc,2.32,132,12.61,49.29,15,5,2,3,52.41,76.74,94.96,0.723,0.553,0.082,0.951,0.888,Pass
S0005,25,Female,Diploma,2.35,118,14.96,45.75,17,13,3,6,88.86,42.76,91.0,0.353,0.246,0.628,0.043,0.496,Pass
S0006,38,Female,BSc,3.52,118,45.09,44.23,12,10,5,4,65.54,81.64,57.48,0.673,0.407,0.972,0.719,0.934,Pass
S0007,24,Male,BSc,2.03,99,28.4,18.6,11,8,5,2,54.94,73.49,42.7,0.908,0.132,0.669,0.597,0.055,Pass
S0008,36,Other,MSc,3.12,117,43.57,38.79,11,8,5,8,65.35,81.61,34.83,0.318,0.535,0.548,0.814,0.588,Fail
S0009,28,Female,BSc,2.76,112,51.59,43.3,14,13,5,1,49.68,58.68,38.62,0.467,0.752,0.571,0.884,0.905,Pass
S0010,28,Male,MSc,3.01,130,52.63,35.52,18,13,1,8,93.5,86.62,72.14,0.604,0.564,0.701,0.726,0.727,Fail
S0011,38,Female,BSc,3.13,104,18.61,16.28,14,10,5,2,44.29,65.08,81.37,0.621,0.763,0.144,0.821,0.31,Pass
S0012,21,Male,MSc,2.63,109,34.31,47.92,14,6,4,9,61.19,93.67,40.95,0.886,0.132,0.004,0.016,0.21,Fail
S0013,25,Female,BSc,2.59,121,46.7,25.29,14,11,0,4,73.42,46.24,37.9,0.114,0.554,0.448,0.606,0.193,Pass
S0014,20,Male,BSc,3.47,119,48.7,10.84,15,10,5,4,92.42,69.07,78.38,0.754,0.61,0.221,0.399,0.718,Fail
S0015,39,Female,BSc,3.74,111,49.23,9.94,13,10,1,7,86.89,52.34,66.19,0.68,0.562,0.979,0.132,0.488,Fail
S0016,38,Female,BSc,2.39,108,21.41,34.14,14,12,5,3,41.35,67.21,56.03,0.624,0.994,0.543,0.442,0.922,Pass
S0017,19,Male,BSc,2.2,109,19.63,24.7,19,9,1,3,89.51,61.23,80.75,0.506,0.939,0.75,0.168,0.167,Fail
S0018,29,Male,BSc,3.8,119,39.5,9.25,17,15,5,4,78.29,88.21,61.9,0.318,0.068,0.543,0.86,0.4,Fail
S0019,23,Male,BSc,2.7,115,47.05,38.32,24,10,0,3,48.0,50.03,62.56,0.648,0.981,0.194,0.358,0.025,Fail
S0020,19,Female,BSc,3.1,122,25.96,40.97,16,8,5,8,77.05,75.92,31.1,0.232,0.779,0.657,0.784,0.425,Fail
S0021,38,Male,MSc,2.72,136,15.24,37.64,14,7,4,9,89.07,64.39,52.12,0.736,0.6,0.328,0.412,0.541,Fail
S0022,18,Female,Diploma,2.25,136,45.84,14.1,21,16,5,5,76.13,71.08,30.35,0.956,0.931,0.986,0.016,0.717,Fail
S0023,29,Male,BSc,3.18,112,24.98,36.04,10,9,5,3,99.95,82.86,94.67,0.895,0.739,0.416,0.725,0.444,Pass
S0024,39,Male,MSc,3.05,124,18.32,5.48,18,10,1,7,70.42,61.43,50.58,0.714,0.78,0.843,0.728,0.16,Fail
S0025,29,Female,MSc,2.41,126,17.39,18.73,15,9,1,3,80.39,62.02,42.64,0.936,0.213,0.358,0.429,0.712,Fail
S0026,34,Male,BSc,2.9,141,25.75,22.95,14,8,5,6,44.22,44.61,36.36,0.701,0.962,0.189,0.451,0.204,Fail
S0027,27,Other,MSc,3.59,107,39.63,42.59,14,10,4,4,88.79,73.12,33.26,0.673,0.213,0.868,0.983,0.317,Fail
S0028,33,Female,BSc,3.18,122,27.92,22.57,12,5,1,7,77.45,65.01,92.02,0.739,0.533,0.359,0.191,0.719,Pass
S0029,32,Female,MSc,2.19,106,11.03,5.51,8,10,4,6,73.67,88.74,41.8,0.159,0.281,0.92,0.508,0.854,Fail
S0030,32,Female,BSc,3.1,113,14.85,20.86,16,13,1,7,82.53,66.36,73.22,0.768,0.376,0.218,0.1,0.961,Fail
S0031,36,Female,MSc,3.41,131,24.53,27.45,14,13,0,4,73.63,98.25,75.59,0.325,0.673,0.73,0.198,0.694,Pass
S0032,29,Male,MSc,3.59,112,42.99,47.71,13,12,4,6,85.99,50.31,52.23,0.009,0.418,0.35,0.933,0.986,Fail
